Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume
10/6/2025,671.8027,669.21,2.5927,0.39%,671.62,669.455,671.925,27202201
10/3/2025,669.21,,-0.01,0.00%,669.99,668.16,672.675,70494350
10/2/2025,669.22,,0.77,0.12%,670.45,666.78,670.565,56895993
10/1/2025,668.45,,2.27,0.34%,663.17,663.06,669.37,72545369
9/30/2025,666.18,,2.5,0.38%,662.93,661.61,666.65,86288028
9/29/2025,663.68,,1.86,0.28%,664.36,661.86,665.28,73499015
9/26/2025,661.82,,3.77,0.57%,659.51,657.88,662.37,69179209
9/25/2025,658.05,,-3.05,-0.46%,657.94,654.405,659.4056,89622067
9/24/2025,661.1,,-2.11,-0.32%,664.51,659.67,664.61,68082229
9/23/2025,663.21,,-3.63,-0.54%,666.72,661.98,667.34,81708872
9/22/2025,666.84,,3.14,0.47%,662.2,662.17,667.29,69452201
9/19/2025,663.7,,1.44,0.22%,662.33,660.37,664.55,97945620
9/18/2025,662.26,,3.08,0.47%,661.89,660.27,664.89,90459242
9/17/2025,659.18,,-0.82,-0.12%,660.01,654.3,661.72,101952244
9/16/2025,660,,-0.91,-0.14%,661.47,659.21,661.78,61168953
9/15/2025,660.91,,3.5,0.53%,659.64,659.34,661.04,63772412
9/12/2025,657.41,,-0.22,-0.03%,657.6,656.9,659.11,72780135
9/11/2025,657.63,,5.42,0.83%,654.18,653.59,658.33,69934360
9/10/2025,652.21,,1.88,0.29%,653.62,650.63,654.55,78034529
9/9/2025,650.33,,1.5,0.23%,648.97,647.22,650.86,66133856
9/8/2025,648.83,,1.59,0.25%,648.62,647.23,649.84,63133104
9/5/2025,647.24,,-1.88,-0.29%,651.48,643.33,652.21,85178935
9/4/2025,649.12,,5.38,0.84%,644.42,643.51,649.15,65219228
9/3/2025,643.74,,3.47,0.54%,642.67,640.46,644.21,70820898
9/2/2025,640.27,,-4.78,-0.74%,637.5,634.92,640.49,81983545
9/1/2025,,,,,,,,
8/29/2025,645.05,,-3.87,-0.60%,647.47,643.14,647.84,74522192
8/28/2025,648.92,,2.29,0.35%,647.24,645.34,649.48,61519461
8/27/2025,646.63,,1.47,0.23%,644.57,644.42,647.37,48341069
8/26/2025,645.16,,2.69,0.42%,642.2,641.57,645.51,51581565
8/25/2025,642.47,,-2.84,-0.44%,644.04,642.35,645.29,51274332
8/22/2025,645.31,,9.76,1.54%,637.76,637.25,646.5,84083214
8/21/2025,635.55,,-2.56,-0.40%,636.28,633.81,637.97,54805775
8/20/2025,638.11,,-1.7,-0.27%,639.4,632.95,639.66,88890298
8/19/2025,639.81,,-3.49,-0.54%,643.12,638.48,644.105,69750731
8/18/2025,643.3,,-0.14,-0.02%,642.86,642.18,644,43804914
8/15/2025,643.44,,-1.51,-0.23%,645.99,642.5153,646.09,68592507
8/14/2025,644.95,,0.06,0.01%,642.79,642.34,645.62,59327466
8/13/2025,644.89,,2.2,0.34%,644.91,642.68,646.19,60092790
8/12/2025,642.69,,6.77,1.06%,638.29,636.79,642.85,64821798
8/11/2025,635.92,,-1.26,-0.20%,637.46,634.66,638.95,58742300
8/8/2025,637.18,,4.93,0.78%,634.06,633.74,637.645,64051626
8/7/2025,632.25,,-0.53,-0.08%,636.24,629.11,636.98,74205791
8/6/2025,632.78,,4.81,0.77%,629.05,628.13,633.44,64357525
8/5/2025,627.97,,-3.2,-0.51%,631.79,627.04,632.6052,68051401
8/4/2025,631.17,,9.45,1.52%,625.67,625.58,631.215,73218015
8/1/2025,621.72,,-10.36,-1.64%,626.3,619.29,626.34,140103572
7/31/2025,632.08,,-2.38,-0.38%,639.455,630.765,639.85,103385246
7/30/2025,634.46,,-0.8,-0.13%,635.92,631.54,637.68,80418851
7/29/2025,635.26,,-1.68,-0.26%,638.35,634.335,638.67,60556278
7/28/2025,636.94,,-0.16,-0.03%,637.48,635.54,638.04,54917102
7/25/2025,637.1,,2.68,0.42%,635.09,634.84,637.5799,56865364
7/24/2025,634.42,,0.21,0.03%,634.6,633.99,636.15,71307134
7/23/2025,634.21,,5.35,0.85%,631.55,629.73,634.21,70511036
7/22/2025,628.86,,0.09,0.01%,629.1,626.19,629.73,60046288
7/21/2025,628.77,,1.19,0.19%,628.77,628.34,631.54,63374984
7/18/2025,627.58,,-0.46,-0.07%,629.3,626.46,629.47,65621645
7/17/2025,628.04,,3.82,0.61%,624.4,624.18,628.4048,68885683
7/16/2025,624.22,,2.08,0.33%,623.74,618.05,624.73,88987511
7/15/2025,622.14,,-2.67,-0.43%,627.52,622.06,627.86,74317260
7/14/2025,624.81,,1.19,0.19%,623.16,621.7999,625.1581,51898518
7/11/2025,623.62,,-2.2,-0.35%,622.74,621.53,624.86,63670226
7/10/2025,625.82,,1.76,0.28%,624.2,623.01,626.8701,57528960
7/9/2025,624.06,,3.72,0.60%,622.77,620.9105,624.72,66113326
7/8/2025,620.34,,-0.34,-0.05%,621.35,619.52,622.11,59024585
7/7/2025,620.68,,-4.66,-0.75%,623.36,617.87,624.03,74814505
7/4/2025,,,,,,,,
7/3/2025,625.34,,4.89,0.79%,622.45,622.43,626.28,51065789
7/2/2025,620.45,,2.8,0.45%,617.24,616.61,620.49,66510374
7/1/2025,617.65,,-0.2,-0.03%,616.36,615.52,618.83,70030140
6/30/2025,617.85,,2.94,0.48%,617.38,615.04,619.22,92502541
6/27/2025,614.91,,3.04,0.50%,612.88,610.83,616.39,86258398
6/26/2025,611.87,,4.75,0.78%,608.99,608.37,612.31,78548361
6/25/2025,607.12,,0.34,0.06%,607.91,605.54,608.61,62114767
6/24/2025,606.78,,6.63,1.10%,604.33,603.41,607.8499,67735293
6/23/2025,600.15,,5.87,0.99%,595.04,591.89,600.54,87426039
6/20/2025,594.28,,-3.16,-0.53%,598.38,592.86,599.46,94051374
6/19/2025,,,,,,,,
6/18/2025,597.44,,-0.09,-0.02%,598.44,596.47,601.22,76605029
6/17/2025,597.53,,-5.15,-0.85%,600.21,596.76,601.75,82209365
6/16/2025,602.68,,5.68,0.95%,600.4,600.22,604.45,79984125
6/13/2025,597,,-6.75,-1.12%,598.5,595.48,601.85,89505996
6/12/2025,603.75,,2.39,0.40%,600.01,599.52,603.75,64129003
6/11/2025,601.36,,-1.72,-0.29%,604.19,599.27,605.06,73658225
6/10/2025,603.08,,3.4,0.57%,600.22,599.09,603.47,66246973
6/9/2025,599.68,,0.54,0.09%,599.72,598.49,601.25,53016418
6/6/2025,599.14,,6.09,1.03%,598.66,596.86,600.83,66588743
6/5/2025,593.05,,-2.88,-0.48%,597.63,591.05,599,92436397
6/4/2025,595.93,,-0.16,-0.03%,596.96,595.49,597.95,57314199
6/3/2025,596.09,,3.38,0.57%,592.34,591.85,597.08,63606204
6/2/2025,592.71,,3.32,0.56%,587.76,585.06,592.79,61630502
5/30/2025,589.39,,-0.66,-0.11%,588.93,583.235,591.1299,90601242
5/29/2025,590.05,,2.32,0.39%,593.06,586.07,593.2,70073758
5/28/2025,587.73,,-3.42,-0.58%,591.56,586.985,592.7688,68445512
5/27/2025,591.15,,12.04,2.08%,586.07,578.43,591.31,72588475
5/26/2025,,,,,,,,
5/23/2025,579.11,,-3.98,-0.68%,575.98,575.6,581.8101,76029046
5/22/2025,583.09,,0.23,0.04%,582.66,581.405,586.62,70860417
5/21/2025,582.86,,-9.99,-1.69%,588.44,581.82,592.58,95197657
5/20/2025,592.85,,-2,-0.34%,593.09,589.6,594.05,60614492
5/19/2025,594.85,,0.65,0.11%,588.1,588.1,595.54,68168509
5/16/2025,594.2,,3.74,0.63%,591.25,589.28,594.5,76052101
5/15/2025,590.46,,2.87,0.49%,585.56,585.0969,590.97,71268145
5/14/2025,587.59,,0.75,0.13%,587.81,585.535,588.98,66283531
5/13/2025,586.84,,3.85,0.66%,583.41,582.84,589.08,67947225
5/12/2025,582.99,,18.65,3.30%,581.47,577.04,583,78993570
5/9/2025,564.34,,-0.72,-0.13%,566.48,562.7637,567.5,37603427
5/8/2025,565.06,,3.91,0.70%,565.24,561.7,570.31,65130787
5/7/2025,561.15,,2.35,0.42%,560.15,556.04,563.82,55733229
5/6/2025,558.8,,-4.71,-0.84%,557.93,556.96,563.3476,48264708
5/5/2025,563.51,,-3.25,-0.57%,562.57,561.7,566.65,38659222
5/2/2025,566.76,,8.29,1.48%,564.73,562.38,568.38,60717270
5/1/2025,558.47,,3.93,0.71%,560.37,557.86,564.0699,63186146
4/30/2025,554.54,,0.22,0.04%,547.57,541.52,556.52,93101463
